metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
0,0.4525850949690945,1.191333731871018,3.4274999999999998,0.44584636538671285,4.51986371401327,6.248312290118412,5.0,40.920718013034104,1.0,1.0,1.0,1.0,62.15427995029135,1400.0052226499915,954.2,4793.188635755765,16.0,10.0,2.0
1,5.261685128048938,2.83970314110996,0.4349999999999998,0.6900863361841556,5.8458774233795,6.715627919454629,10.0,44.052618850377385,1.0,1.0,1.0,1.0,379.9820325196675,1681.8299586466158,1429.6000000000001,5332.189839009896,16.0,10.0,1.0
10,6.2889525171549225,3.5490454362432122,0.14599999999999996,0.9430479972460739,7.099753489417009,6.126868153896696,17.6,40.10229147328418,1.0,1.0,1.0,1.0,461.4839768121056,1603.9205069096379,2434.7136000000005,5016.346232603004,16.0,120.0,5.0
100,8.193557537881485,4.249218062245772,4.065,1.0412216542825319,10.481032349785819,13.18580680117324,14.0,87.43630010487927,3.0,1.0,1.0,1.0,2043.8013082082348,5392.500078632281,4635.68,13987.940325434942,48.0,60.0,5.0
101,3.9693762573332423,0.06439987661971433,4.2,0.8234845230257793,155.66640727910084,187.60327846295567,218.0,1256.9046809042495,3.0,1.0,1.0,1.0,30354.94941942466,39038.59022825639,73596.8,187941.50937834612,48.0,720.0,1.0
102,4.147389255943775,0.5697605151953734,5.275454545454545,0.8326603107877064,1361.398705492196,1809.8531280554857,1428.0,12134.306355638631,3.0,1.0,1.0,1.0,265472.74757097824,420516.66808347945,555808.7563636363,1819753.9535816563,48.0,86400.0,22.0
103,3.5732894758341134,2.5507109856874854,4.9025,0.8030680480864815,77.2576951022018,100.97154044383043,86.75,676.0489908664853,4.0,1.0,2.0,1.0,19679.89334595883,37182.3157079047,50814.68,109111.84297969635,64.0,120.0,4.0
104,0.45485216667878386,1.1956869511296393,3.6799999999999997,0.4477377841436488,5.479750251270963,7.167752453657509,7.0,47.08525955182155,4.0,1.0,2.0,1.0,302.2111781206452,2017.8940899767965,3552.64,6528.616936464285,64.0,120.0,1.0
105,4.098742921943999,0.39670722317941703,4.775,0.8301527611464454,474.05654998679813,612.2186809538789,548.0,4104.003282890612,4.0,1.0,2.0,1.0,123254.70299656752,141048.61026113102,316524.8,669485.1391688933,64.0,1380.0,1.0
106,4.136267951504335,0.5325487768973246,5.3845833333333335,0.8320870602896779,965.5479057320474,1274.0709657208938,1039.625,8541.811815714967,4.0,1.0,2.0,1.0,251042.45549033233,304608.86377918674,641046.6366666667,1394481.2890589442,64.0,1439.0,72.0
107,3.5051768339045966,2.525671363100138,4.6675,0.7995571579869482,80.9955989507516,109.82895396736285,79.83333333333333,735.443528461303,4.0,1.0,2.0,1.0,20278.974810463296,40268.01357128452,45562.479999999996,118532.65292923374,64.0,180.0,6.0
108,3.786241626059384,0.6531490541558858,4.853333333333333,0.8140447734623211,88.26186976262231,106.25283337331702,124.33333333333333,711.4498223617146,4.0,1.0,2.0,1.0,22948.0861382818,26223.362849156547,72438.25777777776,115325.20906614063,64.0,180.0,3.0
109,3.920886502961796,0.14715071449558528,4.75625,0.8209850701628073,149.32767119645084,190.42878556838156,180.0,1275.8631273135836,4.0,1.0,2.0,1.0,38825.194511077214,40831.29188036071,103752.0,207382.6770666178,64.0,180.0,4.0
11,3.4578358189443748,2.5082678480995466,2.1599999999999997,0.7971169616509369,54.75530222499751,66.09082530655148,77.0,442.16385175122167,1.0,1.0,1.0,1.0,3385.8145424562695,16200.995062575645,13133.12,54277.32458959133,16.0,120.0,1.0
110,2.9861864561056377,2.3348796869401283,5.475,0.7728056021008992,46.16555419508097,60.41185877672214,52.0,404.0923767176039,4.0,1.0,2.0,1.0,10025.12400250145,21411.914051344153,32364.8,64436.39199852883,64.0,180.0,1.0
111,1.5455779798736633,1.805281908749259,5.040000000000001,0.6985488482579336,26.519036605367532,35.15697483295357,29.0,234.75636441218867,4.0,1.0,2.0,1.0,3313.73901078583,11269.147881221663,17242.24,36318.48251614742,64.0,240.0,1.0
112,7.580833692991229,3.9451484619834645,4.475,0.9621110374034568,11.537115110615513,15.704761753197653,12.0,104.3274906523649,4.0,1.0,2.0,1.0,2999.6499287600336,6438.952318811038,6700.799999999999,17900.0003084799,64.0,240.0,1.0
113,0.17258068481898067,7.606415312964631,4.99,0.453319163592115,5.182174581451932,7.019074738247219,6.0,46.0886448007834,4.0,1.0,2.0,1.0,192.1817933405916,2877.8206426813595,3548.16,6406.894346466027,64.0,30.0,1.0
114,0.4542171716878292,1.194467637063861,3.8549999999999995,0.44720800759034485,6.385946924863354,9.07220369698836,6.0,59.855646445545446,4.0,1.0,2.0,1.0,351.9288899720832,2553.3347955084514,3112.32,8297.268269966447,64.0,30.0,1.0
115,8.243088214286944,4.267426618016709,4.339285714285714,1.0437747553692107,10.954218356413957,13.787799465127888,14.571428571428571,91.47270141813874,4.0,1.0,2.0,1.0,2848.096772667629,5652.997780702434,8010.122448979592,16172.518534918692,64.0,30.0,7.0
