Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs,41306,99204.000000,58412.996094,2412807168.000000,709588.000000,63342.015625,2616405248.000000,1816000.000000,4758802.000000,1196216320.000000,741160.000000,2557160.000000,132.986710,107.712715,474.356750,292.519989,0,33117,132.977814,0.007307,0.001590,107.703819,0.007307,0.001590
EFT,41306,106631.000000,56699.679688,2342036992.000000,706181.000000,61628.621094,2545631744.000000,1800704.000000,4755395.000000,1196084608.000000,784586.000000,2585290.000000,129.740677,104.467606,474.918915,292.866669,0,32099,129.731613,0.007454,0.001606,104.458443,0.007454,0.001606
Fcfs_with_a_score_x1_x0_x0_x0,41306,100723.000000,58500.070312,2416403968.000000,709731.000000,63428.179688,2619964416.000000,1768040.000000,4758945.000000,1196102528.000000,736019.000000,2504059.000000,133.236847,107.891106,475.227020,293.056671,0,33039,133.227951,0.007316,0.001587,107.882210,0.007316,0.001587
Fcfs_with_a_score_mixed_strategy_x1_x1_x1_x0,41306,97882.000000,57163.835938,2361209344.000000,705701.000000,62091.496094,2564751360.000000,1711370.000000,4754915.000000,1195639808.000000,741544.000000,2452914.000000,130.463226,105.398041,471.875671,290.989990,0,32677,130.454758,0.006916,0.001580,105.389565,0.006916,0.001580
Fcfs_with_a_score_mixed_strategy_x486_x1_x0_x0,41306,99726.000000,48704.363281,2011782400.000000,678874.000000,53621.929688,2214907392.000000,1401070.000000,4728088.000000,1194526080.000000,680897.000000,2081967.000000,114.409302,89.751167,475.227020,293.056671,0,27761,114.401939,0.006088,0.001277,89.743797,0.006088,0.001277
Fcfs_with_a_score_mixed_strategy_x486_x50_x0_x0,41306,92471.000000,56844.687500,2348026624.000000,704980.000000,61763.363281,2551197440.000000,1440870.000000,4754194.000000,1194706176.000000,667999.000000,2108869.000000,130.533936,105.123466,478.967560,295.363342,0,31705,130.525742,0.006704,0.001529,105.115265,0.006704,0.001529
Fcfs_with_a_score_mixed_strategy_x500_x1_x0_x0,41306,96934.000000,46907.359375,1937555456.000000,701332.000000,51822.875000,2140595712.000000,1396520.000000,4750546.000000,1194434048.000000,659127.000000,2055647.000000,110.438553,86.183929,474.281067,292.473328,0,27488,110.431053,0.006252,0.001249,86.176414,0.006252,0.001249
Fcfs_with_a_score_mixed_strategy_x500_x50_x0_x0,41306,96128.000000,56685.253906,2341441024.000000,706355.000000,61604.292969,2544626944.000000,1450270.000000,4755569.000000,1194825344.000000,707937.000000,2158207.000000,130.154083,104.752640,480.475677,296.293335,0,31870,130.145905,0.006684,0.001475,104.744392,0.006684,0.001475
Fcfs_with_a_score_adaptative_multiplier_x1_x0_x0_x0,41306,293869.000000,4685.891602,193555440.000000,620998.000000,9596.411133,396389344.000000,881020.000000,4670212.000000,1193321984.000000,709988.000000,1591008.000000,8.208119,6.605723,130.717941,84.966667,0,493,8.207545,0.000377,0.000198,6.605149,0.000377,0.000198
Fcfs_with_a_score_adaptative_multiplier_x1_x1_x0_x0,41306,293802.000000,4672.110352,192986192.000000,783380.000000,9581.998047,395794016.000000,879300.000000,4832594.000000,1193248256.000000,690713.000000,1570013.000000,8.121576,6.562251,131.138458,85.239998,0,508,8.121001,0.000376,0.000199,6.561675,0.000376,0.000199
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x0_x0_x0,41306,99692.000000,58415.667969,2412917504.000000,707475.000000,63339.808594,2616314112.000000,1673160.000000,4756689.000000,1195711232.000000,694365.000000,2367525.000000,133.057709,107.689743,475.227020,293.133331,0,33125,133.048843,0.007249,0.001593,107.680893,0.007249,0.001593
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x0_x0,41306,99341.000000,57666.000000,2381951744.000000,708145.000000,62590.613281,2585367808.000000,1691230.000000,4757359.000000,1195814784.000000,705482.000000,2396712.000000,131.543350,106.281906,474.854065,292.826660,0,32717,131.534531,0.007252,0.001588,106.273048,0.007252,0.001588
Fcfs_with_a_score_mixed_strategy_adaptative_multiplier_x1_x1_x1_x0,41306,98476.000000,57070.410156,2357350400.000000,705597.000000,61992.515625,2560662784.000000,1632970.000000,4754811.000000,1195408512.000000,677557.000000,2310527.000000,130.167160,105.178268,471.243256,290.600006,0,32596,130.158569,0.007027,0.001573,105.169647,0.007027,0.001573
Mix_score_nb_running_jobs,41306,140398.000000,7492.252441,309474976.000000,620998.000000,12399.730469,512183264.000000,950160.000000,4670212.000000,1193243904.000000,594133.000000,1544293.000000,19.179077,14.060775,158.354843,98.180000,0,2302,19.178354,0.000502,0.000219,14.060055,0.000502,0.000219
Fcfs_with_a_score_adaptative_multiplier_if_EAT_is_t_x500_x1_x0_x0,41306,100703.000000,52867.726562,2183754240.000000,684648.000000,57794.468750,2387258368.000000,1722920.000000,4733862.000000,1195555840.000000,751695.000000,2474615.000000,122.386253,97.538353,469.313507,289.850006,0,30303,122.377731,0.006999,0.001540,97.529808,0.006999,0.001540
