19253,1.000000,0,1410,2972269,20,1280,2387,3192,28200
19254,1.000000,0,195,2972569,1,64,2387,3193,195
19255,1.000000,0,1410,2975869,20,1280,2387,3194,28200
19256,1.000000,0,195,2976169,1,64,2387,3195,195
19257,1.000000,0,1410,2979469,20,1280,2387,3196,28200
19258,1.000000,0,195,2979770,1,64,2387,3197,195
19259,1.000000,0,1411,2983069,20,1280,2387,3198,28220
19260,1.000000,0,195,2983369,1,64,2387,3199,195
19261,1.000000,0,1410,2986669,20,1280,2387,3200,28200
19262,1.000000,0,195,2986969,1,64,2387,3201,195
19263,1.000000,0,1410,2990269,20,1280,2387,3202,28200
19264,1.000000,0,195,2990569,1,64,2387,3203,195
19265,1.000000,0,1411,2993869,20,1280,2387,3204,28220
19266,1.000000,0,195,2994169,1,64,2387,3205,195
19267,1.000000,0,1410,2997469,20,1280,2387,3206,28200
19268,1.000000,0,195,2997769,1,64,2387,3207,195
19269,1.000000,0,1472,2999161,3,192,2388,3208,4416
19270,1.000000,0,194,3000325,1,64,2388,3209,194
19271,1.000000,0,1283,3000637,1,64,2388,3209,1283
19272,0.950872,0,3600,3000659,1,64,2389,3210,3600
19273,1.000000,0,6459,3000938,20,1280,2390,3211,129180
19274,1.000000,0,6459,3000938,20,1280,2390,3211,129180
19275,1.000000,0,6459,3000938,20,1280,2390,3211,129180
19276,1.000000,0,1411,3001069,20,1280,2391,3212,28220
19277,1.000000,0,195,3001369,1,64,2391,3213,195
19278,1.000000,0,7199,3002211,20,1280,2392,3214,143980
19279,1.000000,0,332,3004300,1,64,2393,3215,332
19280,1.000000,0,349,3004635,1,64,2393,3215,349
19281,1.000000,0,1410,3004670,20,1280,2394,3216,28200
19282,0.977729,0,28800,3004922,8,512,2395,3217,230400
19283,1.000000,0,195,3004970,1,64,2396,3218,195
19284,1.000000,0,2342,3005134,2,128,2397,3219,4684
19285,0.977763,0,28800,3005203,8,512,2398,3220,230400
19286,1.000000,0,365,3005549,1,64,2399,3221,365
19287,0.997183,0,354,3005550,1,63,2399,3221,354
19288,0.997268,0,365,3005550,1,63,2399,3221,365
19289,0.861290,0,267,3005592,1,21,2399,3221,267
19290,1.000000,0,311,3005592,1,64,2399,3221,311
19291,0.996764,0,308,3005593,1,63,2399,3221,308
19292,0.996774,0,309,3005593,1,63,2399,3221,309
19293,1.000000,0,188,3005594,1,64,2400,3222,188
19294,1.000000,0,302,3005599,1,64,2401,3223,302
19295,1.000000,0,302,3005599,1,64,2401,3223,302
19296,1.000000,0,309,3005599,1,64,2401,3223,309
19297,1.000000,0,311,3005599,1,64,2401,3223,311
19298,0.996689,0,301,3005600,1,63,2401,3223,301
19299,0.996764,0,308,3005600,1,63,2401,3223,308
19300,0.996764,0,308,3005600,1,63,2401,3223,308
19301,0.993378,0,300,3005601,1,62,2401,3223,300
19302,0.993378,0,300,3005601,1,62,2401,3223,300
19303,0.993528,0,307,3005601,1,62,2401,3223,307
19304,1.000000,0,309,3005601,1,64,2401,3223,309
19305,0.987220,0,309,3005605,1,60,2401,3223,309
19306,1.000000,0,188,3005609,1,64,2402,3224,188
19307,1.000000,0,189,3005609,1,64,2402,3224,189
19308,1.000000,0,313,3005609,1,64,2403,3225,313
19309,0.996700,0,302,3005610,1,63,2403,3225,302
19310,0.993378,0,300,3005611,1,62,2403,3225,300
19311,0.993548,0,308,3005611,1,62,2403,3225,308
19312,0.990066,0,299,3005612,1,61,2403,3225,299
19313,0.990099,0,300,3005612,1,61,2403,3225,300
19314,0.990476,0,312,3005612,1,61,2403,3225,312
19315,1.000000,0,188,3005613,1,64,2404,3226,188
19316,1.000000,0,188,3005613,1,64,2404,3226,188
19317,1.000000,0,295,3005613,1,64,2405,3227,295
19318,1.000000,0,295,3005613,1,64,2405,3227,295
19319,0.996622,0,295,3005614,1,63,2405,3227,295
19320,1.000000,0,295,3005615,1,64,2405,3227,295
19321,1.000000,0,295,3005615,1,64,2405,3227,295
19322,1.000000,0,295,3005615,1,64,2405,3227,295
19323,1.000000,0,304,3005615,1,64,2405,3227,304
19324,0.996825,0,314,3005616,1,63,2405,3227,314
19325,1.000000,0,190,3005617,1,64,2406,3228,190
19326,1.000000,0,190,3005617,1,64,2406,3228,190
19327,1.000000,0,295,3005617,1,64,2407,3229,295
19328,1.000000,0,295,3005617,1,64,2407,3229,295
19329,1.000000,0,295,3005617,1,64,2407,3229,295
19330,1.000000,0,303,3005617,1,64,2407,3229,303
19331,1.000000,0,305,3005617,1,64,2407,3229,305
19332,0.996610,0,294,3005618,1,63,2407,3229,294
19333,0.996622,0,295,3005618,1,63,2407,3229,295
19334,0.996689,0,301,3005618,1,63,2407,3229,301
19335,0.996700,0,302,3005618,1,63,2407,3229,302
19336,1.000000,0,310,3005618,1,64,2407,3229,310
19337,1.000000,0,327,3005618,1,64,2407,3229,327
19338,0.996711,0,303,3005619,1,63,2407,3229,303
19339,0.996753,0,307,3005619,1,63,2407,3229,307
19340,0.993333,0,298,3005620,1,62,2407,3229,298
19341,1.000000,0,303,3005620,1,64,2407,3229,303
19342,1.000000,0,303,3005620,1,64,2407,3229,303
19343,1.000000,0,306,3005620,1,64,2407,3229,306
19344,1.000000,0,189,3005621,1,64,2408,3230,189
19345,1.000000,0,239,3005621,1,64,2409,3231,239
19346,1.000000,0,240,3005621,1,64,2409,3231,240
19347,1.000000,0,240,3005621,1,64,2409,3231,240
19348,1.000000,0,246,3005621,1,64,2409,3231,246
19349,1.000000,0,246,3005621,1,64,2409,3231,246
19350,1.000000,0,189,3005622,1,64,2410,3232,189
