Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,8548,12579.000000,1412.742920,12076127.000000,604800.000000,10437.043945,89215848.000000,3232192.000000,2397887.000000,811847872.000000,327263.000000,3559455.000000,1.845948,1.770479,35.691891,22.010000,0,0,1.833424,0.009641,0.002883,1.757956,0.009641,0.002883,2471
FCFS CONSERVATIVE BF MODE 2,8548,12742.000000,932.882690,7974281.000000,604800.000000,9958.359375,85124056.000000,3225088.000000,2397887.000000,811607360.000000,344278.000000,3569366.000000,1.420405,1.373132,10.069039,10.069039,0,0,1.407943,0.009646,0.002816,1.360671,0.009646,0.002816,2485
EFT,8548,13442.000000,1465.756714,12529288.000000,604800.000000,10485.877930,89633288.000000,3199424.000000,2398073.000000,811088064.000000,324274.000000,3523698.000000,1.873399,1.796967,37.481083,23.113333,0,0,1.860770,0.009730,0.002900,1.784337,0.009730,0.002900,2478
EFT CONSERVATIVE BF MODE 2,8548,12697.000000,924.140991,7899557.000000,604800.000000,9951.263672,85063400.000000,3232704.000000,2397887.000000,811906368.000000,350826.000000,3583530.000000,1.415660,1.368461,10.014235,10.014235,0,0,1.403172,0.009672,0.002816,1.355972,0.009672,0.002816,2503
SCORE,8548,410366.000000,2566.447754,21937996.000000,808260.000000,11468.365234,98031584.000000,2201984.000000,2614738.000000,800997504.000000,287024.000000,2489008.000000,1.596023,1.520180,20.077669,13.786667,0,198,1.582444,0.010808,0.002771,1.506601,0.010808,0.002771,4986
SCORE CONSERVATIVE BF MODE 2,8548,410366.000000,2402.425781,20535936.000000,808260.000000,11298.493164,96579520.000000,2219200.000000,2614738.000000,800809472.000000,217647.000000,2436847.000000,1.564077,1.497610,45.524445,45.524445,0,186,1.550497,0.010811,0.002770,1.484029,0.010811,0.002770,4864
OPPORTUNISTIC-SCORE MIX,8548,14755.000000,1426.268433,12191743.000000,604800.000000,10442.813477,89265168.000000,3158592.000000,2397887.000000,810356800.000000,334447.000000,3493039.000000,1.801947,1.738056,33.967392,20.833334,0,0,1.789150,0.009894,0.002903,1.725258,0.009894,0.002903,2553
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,8548,15054.000000,991.794434,8477859.000000,604800.000000,10009.125977,85558008.000000,3157952.000000,2397887.000000,810178240.000000,341762.000000,3499714.000000,1.437457,1.390256,11.714591,11.714591,0,0,1.424706,0.009905,0.002846,1.377505,0.009905,0.002846,2544
EFT-SCORE MIX NON DYNAMIC TH100,8548,13397.000000,1377.267578,11772883.000000,604800.000000,10394.512695,88852296.000000,3156288.000000,2397887.000000,811155392.000000,342832.000000,3499120.000000,1.788317,1.724041,31.600000,19.486666,0,0,1.775702,0.009726,0.002889,1.711426,0.009726,0.002889,2686
EFT-SCORE MIX NON DYNAMIC TH100 CONSERVATIVE BF MODE 2,8548,13122.000000,942.695129,8058158.000000,604800.000000,9965.747070,85187208.000000,3183104.000000,2397887.000000,811558464.000000,365509.000000,3548613.000000,1.431454,1.382872,10.339501,10.339501,0,0,1.418910,0.009706,0.002838,1.370327,0.009706,0.002838,2652
EFT-SCORE MIX DYNAMIC TH70,8548,104012.000000,1498.853760,12812202.000000,604800.000000,10441.237305,89251696.000000,2518528.000000,2410210.000000,804477888.000000,333479.000000,2852007.000000,1.714728,1.646237,20.870270,12.870000,0,21,1.701428,0.010384,0.002917,1.632937,0.010384,0.002917,4353
EFT-SCORE MIX DYNAMIC TH70 CONSERVATIVE BF MODE 0,8548,103998.000000,1207.009399,10317516.000000,604800.000000,10154.786133,86803112.000000,2550208.000000,2398004.000000,804434240.000000,349028.000000,2899236.000000,1.484439,1.427976,11.926984,11.926984,0,18,1.471043,0.010482,0.002914,1.414581,0.010482,0.002914,4117
EFT-SCORE MIX DYNAMIC TH100,8548,12711.000000,1403.333130,11995692.000000,604800.000000,10412.721680,89007944.000000,3076864.000000,2397887.000000,810919872.000000,354914.000000,3431778.000000,1.799359,1.737155,24.303665,15.473333,0,0,1.786760,0.009699,0.002900,1.724556,0.009699,0.002900,3018
EFT-SCORE MIX NON DYNAMIC TH70,8548,104297.000000,1342.593018,11476485.000000,604800.000000,10284.807617,87914536.000000,2525248.000000,2397887.000000,804317632.000000,331477.000000,2856725.000000,1.632792,1.566011,15.454054,9.530000,0,21,1.619491,0.010388,0.002913,1.552710,0.010388,0.002913,4323
