Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,10034,1209.000000,64.320908,645396.000000,990253.000000,2568.863525,25775976.000000,1552832.000000,10733046.000000,204199296.000000,562599.000000,2115431.000000,1.000294,0.960351,2.188993,2.188993,0,0,1.000294,0.000000,0.000000,0.960351,0.000000,0.000000,7607
FCFS CONSERVATIVE BF MODE 2,10034,1211.000000,64.643913,648637.000000,990253.000000,2569.118164,25778532.000000,1553856.000000,10733046.000000,204189696.000000,560902.000000,2114758.000000,1.000470,0.960557,2.197699,2.197699,0,0,1.000470,0.000000,0.000000,0.960557,0.000000,0.000000,7603
EFT,10034,1208.000000,64.574249,647938.000000,990253.000000,2569.040527,25777752.000000,1560576.000000,10733046.000000,204207008.000000,553972.000000,2114548.000000,0.999967,0.960137,2.229188,2.229188,0,0,0.999967,0.000000,0.000000,0.960137,0.000000,0.000000,7589
EFT CONSERVATIVE BF MODE 2,10034,1210.000000,64.772774,649930.000000,990253.000000,2569.076660,25778116.000000,1557760.000000,10733046.000000,204188192.000000,555230.000000,2112990.000000,0.999886,0.960100,2.192708,2.192708,0,0,0.999886,0.000000,0.000000,0.960100,0.000000,0.000000,7603
SCORE,10034,588771.000000,927.665955,9308200.000000,1267249.000000,3381.869141,33933676.000000,1175424.000000,10997446.000000,198400512.000000,433116.000000,1608540.000000,1.176869,1.115355,7.781389,7.781389,0,45,1.176869,0.000000,0.000000,1.115355,0.000000,0.000000,8203
SCORE CONSERVATIVE BF MODE 2,10034,588771.000000,927.745850,9309002.000000,1267249.000000,3382.338379,33938384.000000,1182016.000000,10997446.000000,198416096.000000,430829.000000,1612845.000000,1.177654,1.116004,7.781389,7.781389,0,45,1.177654,0.000000,0.000000,1.116004,0.000000,0.000000,8145
OPPORTUNISTIC-SCORE MIX,10034,1208.000000,64.569366,647889.000000,990253.000000,2569.036865,25777716.000000,1559872.000000,10733046.000000,204207024.000000,554745.000000,2114617.000000,1.000007,0.960162,2.229188,2.229188,0,0,1.000007,0.000000,0.000000,0.960162,0.000000,0.000000,7588
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,10034,1208.000000,64.569366,647889.000000,990253.000000,2569.030029,25777648.000000,1559808.000000,10733046.000000,204206960.000000,554739.000000,2114547.000000,0.999970,0.960139,2.229188,2.229188,0,0,0.999970,0.000000,0.000000,0.960139,0.000000,0.000000,7589
EFT-SCORE MIX,10034,1307.000000,69.929741,701675.000000,990253.000000,2570.959473,25797008.000000,1521664.000000,10733046.000000,203783072.000000,558338.000000,2080002.000000,1.002304,0.962407,1.553343,1.553343,0,0,1.002304,0.000000,0.000000,0.962407,0.000000,0.000000,7653
EFT-SCORE MIX CONSERVATIVE BF MODE 2,10034,1309.000000,70.113617,703520.000000,990253.000000,2571.064697,25798064.000000,1521984.000000,10733046.000000,203773776.000000,557262.000000,2079246.000000,1.002387,0.962503,1.553343,1.553343,0,0,1.002387,0.000000,0.000000,0.962503,0.000000,0.000000,7652
