Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs
Fcfs_no_use_bigger_nodes,16755,83074.000000,1323.188477,22170022.000000,864000.000000,5429.529297,90971760.000000,2735740.000000,4486409.000000,676131584.000000,990613.000000,3726353.000000,2.890808,2.354388,79.039246,79.039246,0,166,2.376691,0.141984,0.372129,1.850178,0.132081,0.372129
Fcfs,16755,97484.000000,1233.603760,20669030.000000,864000.000000,5342.568359,89514736.000000,2756230.000000,4486409.000000,676656896.000000,1014236.000000,3770466.000000,2.409829,2.063169,98.075233,98.075233,627,166,1.792969,0.150209,0.466653,1.457303,0.139208,0.466653
Fcfs_backfill_big_nodes_0,16755,97484.000000,1184.810913,19851506.000000,864000.000000,5292.937500,88683168.000000,2752220.000000,4486409.000000,676645248.000000,1004339.000000,3756559.000000,2.192729,1.918944,98.075233,98.075233,1285,166,1.574690,0.151388,0.466653,1.311870,0.140417,0.466653
Fcfs_area_filling,16755,83074.000000,1142.618530,19144574.000000,864000.000000,5250.226074,87967536.000000,2737370.000000,4486409.000000,676506112.000000,1010536.000000,3747906.000000,2.387311,2.018047,79.039246,79.039246,432,166,1.860167,0.155003,0.372129,1.502450,0.143464,0.372129
Fcfs_area_filling_omniscient,16755,83074.000000,1142.618530,19144574.000000,864000.000000,5250.226074,87967536.000000,2737370.000000,4486409.000000,676506112.000000,1010536.000000,3747906.000000,2.387311,2.018047,79.039246,79.039246,432,166,1.860167,0.155003,0.372129,1.502450,0.143464,0.372129
Fcfs_area_filling_with_ratio,16755,83074.000000,1142.618530,19144574.000000,864000.000000,5250.226074,87967536.000000,2737370.000000,4486409.000000,676506112.000000,1010536.000000,3747906.000000,2.387311,2.018047,79.039246,79.039246,432,166,1.860167,0.155003,0.372129,1.502450,0.143464,0.372129
Fcfs_area_filling_omniscient_with_ratio,16755,83074.000000,1142.618530,19144574.000000,864000.000000,5250.226074,87967536.000000,2737370.000000,4486409.000000,676506112.000000,1010536.000000,3747906.000000,2.387311,2.018047,79.039246,79.039246,432,166,1.860167,0.155003,0.372129,1.502450,0.143464,0.372129
Fcfs_with_a_score_x1_x0_x0_x0,16755,94660.000000,1279.999023,21446384.000000,864000.000000,5388.013672,90276168.000000,2745160.000000,4486409.000000,676542592.000000,1006788.000000,3751948.000000,2.606693,2.203393,98.031395,98.031395,448,166,1.990579,0.153221,0.462875,1.598572,0.141944,0.462875
Fcfs_with_a_score_x500_x500_x0_x0,16755,590965.000000,2952.362305,49466832.000000,1068118.000000,6941.746094,116308952.000000,1098630.000000,4702530.000000,652877376.000000,619546.000000,1718176.000000,3.780365,3.151367,43.078491,43.078491,329,247,3.302250,0.431966,0.046147,2.682730,0.422495,0.046147
Fcfs_area_filling_with_a_score_x500_x500_x0_x0,16755,590965.000000,2938.167725,49229000.000000,1068118.000000,6926.715332,116057112.000000,1099840.000000,4702530.000000,652824384.000000,605169.000000,1705009.000000,3.812842,3.177393,43.078491,43.078491,322,242,3.334018,0.432758,0.046063,2.708155,0.423177,0.046063
Fcfs_area_filling_omniscient_with_a_score_x500_x500_x0_x0,16755,590965.000000,2938.167725,49229000.000000,1068118.000000,6926.715332,116057112.000000,1099840.000000,4702530.000000,652824384.000000,605169.000000,1705009.000000,3.812842,3.177393,43.078491,43.078491,322,242,3.334018,0.432758,0.046063,2.708155,0.423177,0.046063
Fcfs_area_filling_with_ratio_with_a_score_x500_x500_x0_x0,16755,590915.000000,2935.436768,49183244.000000,1068068.000000,6923.739258,116007248.000000,1096160.000000,4702480.000000,652798272.000000,604183.000000,1700343.000000,3.718911,3.117731,43.078491,43.078491,338,244,3.240156,0.432693,0.046063,2.648558,0.423113,0.046063
Fcfs_area_filling_with_ratio_7_days_earlier_with_a_score_x500_x500_x0_x0,16755,590965.000000,2938.167725,49229000.000000,1068118.000000,6926.715332,116057112.000000,1099840.000000,4702530.000000,652824384.000000,605169.000000,1705009.000000,3.812842,3.177393,43.078491,43.078491,322,242,3.334018,0.432758,0.046063,2.708155,0.423177,0.046063
Fcfs_area_filling_omniscient_with_ratio_with_a_score_x500_x500_x0_x0,16755,3790681.000000,14184.474609,237660864.000000,4267834.000000,18127.210938,303721408.000000,730940.000000,7902246.000000,647990464.000000,201183.000000,932123.000000,14.732000,12.781380,112.157898,112.157898,0,1780,13.440056,1.245876,0.046063,11.523936,1.211389,0.046063
